"HID","median_probs","mean_probs","cilow","cihigh","cisize","standarddev"
16515,0,0.136,0,1,1,0.342960087505269
16516,0,0.105,0,1,1,0.306706812883361
16517,0,0.056,0,1,1,0.230036772966665
16518,0,0.051,0,1,1,0.220107808692576
16519,0,0.043,0,1,1,0.202958597236462
16520,0,0.057,0,1,1,0.231958627355839
16521,0,0.1,0,1,1,0.300150112593832
16522,0,0.197,0,1,1,0.397931337480914
16523,0,0.445,0,1,1,0.497214463005877
16563,0,0.286,0,1,1,0.452115481274871
16564,0,0.363,0,1,1,0.481105458774334
16566,1,0.618,0,1,1,0.486119648144685
16567,1,0.669,0,1,1,0.470808518041741
16568,1,0.685,0,1,1,0.464748309293311
16569,1,0.578,0,1,1,0.494125652198062
16570,0,0.421,0,1,1,0.493966601100725
16571,0,0.315,0,1,1,0.464748309293311
16572,0,0.29,0,1,1,0.453989103510322
16573,0,0.244,0,1,1,0.429707631592282
16574,0,0.25,0,1,1,0.433229370758364
16575,0,0.191,0,1,1,0.393285740491152
16576,0,0.228,0,1,1,0.419752536850216
16577,0,0.229,0,1,1,0.42039949540376
16578,0,0.249,0,1,1,0.432650189166937
16579,0,0.307,0,1,1,0.461480188051409
16580,0,0.363,0,1,1,0.481105458774334
16581,0,0.424,0,1,1,0.494437527366672
16582,0,0.471,0,1,1,0.499408058013093
16583,1,0.529,0,1,1,0.499408058013093
16584,1,0.538,0,1,1,0.49880337288836
16585,0,0.482,0,1,1,0.499925920438144
16586,0,0.448,0,1,1,0.49753747953651
16587,0,0.412,0,1,1,0.492441365543654
16588,0,0.366,0,1,1,0.481950491519903
16589,0,0.316,0,1,1,0.465145526002734
16590,0,0.298,0,1,1,0.457608353732103
16591,0,0.325,0,1,1,0.468609213091884
16592,0,0.317,0,1,1,0.465540253606203
16593,0,0.307,0,1,1,0.461480188051409
16594,0,0.256,0,1,1,0.436640189005381
16595,0,0.159,0,1,1,0.36585906146063
16596,0,0.149,0,1,1,0.356266650033266
16597,0,0.156,0,1,1,0.363036906933435
16598,0,0.102,0,1,1,0.302799748493435
16599,0,0.056,0,1,1,0.230036772966665
16600,0,0.054,0,1,1,0.226130792098589
16601,0,0.065,0,1,1,0.246649216167082
16602,0,0.087,0,1,1,0.281976081451088
16603,0,0.194,0,1,1,0.395626743939942
