HID,Folds,BIO03_Mean,TN10P_IDW1N10,GSL_IDW1N10,TNX_IDW1N10,ID_IDW1N10,BIO14_Mean,BIO18_Mean,CWD_IDW1N10,RX1DAY_IDW1N10,WSDI_IDW1N10,PA
79631,10,36.385366,10.296547,134.694092,11.448191,117.131204,1.719277,255.267805,12.011928,44.281888,1.738027,0
79636,10,31.799014,9.883,134.605207,14.906171,135.389382,0.77128,121.193786,7.804221,29.668084,2.769126,0
79706,10,25.375101,9.563037,287.081872,24.043003,3.970273,7.195287,544.577277,20.727016,66.817134,4.952578,1
79707,10,28.125152,9.667537,252.657243,21.41041,11.458668,5.465189,544.555906,25.145275,75.015301,3.513623,0
79708,10,36.426679,9.818338,215.97776,18.502826,22.571557,4.48965,398.478295,26.922062,77.736426,1.878108,0
79712,10,36.61752,10.214183,142.443754,11.987765,106.144861,2.007008,272.557068,12.945301,47.475039,1.614576,0
79713,10,35.212059,10.250583,137.995979,11.841957,117.461555,1.334042,233.995524,11.400134,42.139906,1.782202,0
79716,10,33.019643,9.967733,150.372183,15.241379,116.788971,1.008789,174.375456,8.35102,31.244985,2.217622,0
79717,10,32.121805,9.897567,152.022998,16.697738,116.413654,0.992792,102.089979,7.712797,30.144042,2.28667,0
79787,10,25.488255,9.560886,273.423678,23.325785,5.583939,6.952812,543.507952,20.035723,69.049044,4.446527,0
79788,10,31.131941,9.717984,237.791435,20.480883,13.634838,4.554705,482.213338,24.56825,77.511307,2.578867,0
79789,10,36.398538,9.873389,208.021989,17.97342,24.899541,3.679024,336.704839,25.095099,76.618103,1.338864,0
79790,10,38.029126,10.074667,174.133301,14.526811,54.598615,3.275909,318.206035,23.286866,67.445694,1.133255,0
79792,10,36.557963,10.196541,148.761521,12.575729,95.839051,2.099384,296.121942,13.980042,51.337488,1.418254,0
79793,10,35.302491,10.220613,148.883649,12.863371,105.421789,2.01123,264.062251,12.484286,47.881517,1.536606,0
79796,10,33.002589,9.9556,160.361481,16.459595,106.670591,1.001818,168.909033,8.173629,31.846048,2.052828,0
79797,10,32.910953,9.905272,162.201688,17.195512,108.012332,1.0,91.38535,8.053522,31.601287,1.758401,0
79798,10,31.551215,9.821555,182.091539,20.668989,94.552662,1.0,58.251417,6.245143,26.341864,2.146006,0
79868,10,24.951542,9.470739,294.637678,25.049332,2.8067,9.662,515.891007,16.40787,61.548251,5.592041,1
79869,10,27.423028,9.578017,264.421185,22.671519,6.887398,6.049772,540.707559,19.710797,70.05831,3.9831,1
79870,10,31.867367,9.736629,222.633509,19.515151,17.7063,3.861057,401.412009,24.116,79.026835,1.761096,0
79871,10,35.920137,9.94748,195.355352,16.923172,34.878508,3.559489,317.876565,22.295988,71.68024,1.112456,0
79872,10,36.567465,10.145538,171.418648,14.476549,60.030579,2.975093,313.47019,19.517022,64.165191,0.960299,0
79874,10,34.770057,10.16008,154.224673,13.357519,96.645249,2.0,249.23471,13.10909,50.516334,1.395908,0
79877,10,32.739028,9.94462,168.920794,17.174485,96.730485,1.001298,196.471586,8.283303,33.428687,1.754584,0
79878,10,32.757724,9.877505,172.409586,18.78609,99.968086,1.0,102.821725,7.317985,30.108613,2.071918,0
79879,10,31.987583,9.82844,182.509139,20.491465,93.327016,1.0,66.607696,6.485499,27.082577,2.025402,0
79949,10,24.061041,9.40373,303.578577,25.589466,1.740074,13.658192,492.701668,15.301228,58.265061,5.78674,1
79950,10,26.022591,9.529304,274.980005,23.547765,5.076292,9.133176,522.463985,18.740301,66.879333,4.625424,1
79951,10,29.696962,9.69437,236.916204,20.597393,13.558366,4.882022,498.524511,22.6263,75.277901,2.569322,0
79952,10,32.135675,9.855269,210.657268,18.483979,24.130793,3.478101,335.255281,21.135786,72.975974,1.38871,0
79953,10,34.587072,9.973129,193.057603,16.940537,38.993374,3.044663,304.835807,20.417385,69.376932,0.902937,0
79954,10,34.915461,10.094697,171.212695,14.669128,66.855928,2.70276,302.046929,17.076078,60.887892,1.022338,0
79955,10,33.928175,10.02538,169.693952,15.042211,79.844253,2.0,255.720802,13.81129,55.319662,1.106778,0
